ds,yhat,yhat_lower,yhat_upper
2015-06-22,2.508800194224102,-6.820030625260678,11.933506229390398
2015-06-23,2.4567073843708913,-6.175209811871174,11.24583543336764
2015-06-24,2.4100525825124413,-7.067013378239948,12.4971837471692
2015-06-25,2.3703302453557518,-7.135312812875559,12.045770241839456
2015-06-26,2.3387371289223435,-7.097570954622988,11.066766502906226
2015-06-29,2.2995654187044208,-7.203926548402492,11.98808807538845
2015-06-30,2.3054748733978534,-6.739985136391003,11.162168233155912
2015-07-01,2.3201405228786385,-7.688861040827037,11.81782335356104
2015-07-02,2.342579023512803,-7.42062159889846,12.536458520845446
2015-07-06,2.4795818795332387,-7.07705844351886,12.010585157635678
2015-07-07,2.5159498337775457,-7.870425899341582,11.81061259296501
2015-07-08,2.548769765502743,-5.9153086684501455,12.211522306041237
2015-07-09,2.575764333178048,-6.6949233119211335,12.012323011431175
2015-07-10,2.5947193162558655,-7.4388435914101905,12.137100084474524
2015-07-13,2.583563543318224,-6.7667916849873215,11.75092644104221
2015-07-14,2.5518000383617134,-6.902101718673431,12.108692065462805
2015-07-15,2.5041306230804645,-7.223365953947274,11.220950901607823
2015-07-16,2.439998604397583,-6.718430163201816,11.04341683384485
2015-07-17,2.35927277473249,-7.53599010673617,12.052967884766383
2015-07-20,2.022858501471089,-7.207142100178646,12.086547975004478
2015-07-21,1.8832693661980966,-7.828966103494119,10.705729234751766
2015-07-22,1.7329585972022223,-7.891713035158142,10.797994563560518
2015-07-23,1.5742683755879665,-8.160476768132026,11.176387146051326
2015-07-24,1.4098317063940962,-7.904785578424236,10.916033010608382
2015-07-27,0.911397919304106,-8.407909262978054,10.394424280748831
2015-07-28,0.7538357507028066,-8.689409626004828,9.81363967291955
2015-07-29,0.605693869202296,-8.621440659348458,9.372926654534556
2015-07-30,0.4698755934872598,-8.910643072556688,10.101643163398094
2015-07-31,0.3490613480498128,-9.756781218112005,9.375604618636824
2015-08-03,0.09866539853990614,-9.4574109820006,9.06648516389542
2015-08-04,0.057887402164992496,-9.764909142096553,9.206934853545613
2015-08-05,0.039961553765310576,-9.2078355225442,8.884627786530462
2015-08-06,0.04503227740038118,-9.249497258448375,9.104884810419735
2015-08-07,0.07271716995924687,-9.559030547094379,8.554731307631162
2015-08-10,0.2798907910435593,-8.956980034978637,9.786169753438081
2015-08-11,0.38405925514507505,-8.925626299510885,9.49261956366049
2015-08-12,0.5015915922445822,-9.005503608602822,9.813432903626087
2015-08-13,0.6294530643706604,-9.56578861286533,8.946074460801343
2015-08-14,0.7643567736981572,-8.79786116765744,9.655659456989094
2015-08-17,1.1763101222466252,-7.790607592491705,11.204700102817803
2015-08-18,1.304235260722089,-7.948302924577088,10.702489055267096
2015-08-19,1.421784424922361,-7.476880416446819,11.497740896986393
2015-08-20,1.5258533885678265,-7.522338295646681,10.358713816682933
2015-08-21,1.613644465751118,-7.903016917381393,11.034878571486022
2015-08-24,1.757269545611585,-7.741912914832788,10.567870850622413
2015-08-25,1.7601732166616848,-8.243360154138664,11.000945004649827
2015-08-26,1.7393324882426293,-7.0695336212145525,11.303558217449899
2015-08-27,1.694788566425668,-7.848957300584507,10.476004723280091
2015-08-28,1.6271129420322146,-7.696569059264807,10.89411120508859
2015-08-31,1.2985112380661434,-7.261121492795775,11.387441026065485
2015-09-01,1.1537638779023447,-9.252412991345206,10.629764527212402
2015-09-02,0.9956736032797522,-7.668076141787157,10.579088260129321
2015-09-03,0.8272325435260066,-8.280864222601107,10.29122020423146
2015-09-04,0.6516227023543623,-8.814793669816883,9.777239450913846
2015-09-08,-0.056525998364473,-9.777462185718774,9.99819634049768
2015-09-09,-0.21898584389665873,-9.515517834115958,9.013445623089508
2015-09-10,-0.36981480893816143,-10.15710638799721,8.670134198894608
2015-09-11,-0.5065942473815129,-9.965356232859936,8.918514102563584
2015-09-14,-0.8140700728391912,-10.593951520933565,8.572785940662731
2015-09-15,-0.8781819706061046,-10.174172782292416,8.551498262923843
2015-09-16,-0.9221650228529141,-10.362642863966027,8.378604660456833
2015-09-17,-0.946124398087629,-10.65342597790774,8.586855342165649
2015-09-18,-0.9505928231839157,-10.366334529782959,8.998699211766393
2015-09-21,-0.8581652884026588,-10.165078886899018,8.67445706630284
2015-09-22,-0.7974212685538052,-10.801612222254239,8.003194226739632
2015-09-23,-0.7250227119754197,-10.091543913501312,9.22322681802581
2015-09-24,-0.6432213351178208,-11.105300942089746,8.800924947890623
2015-09-25,-0.5543585857192407,-9.717342352242012,8.379327475955984
2015-09-28,-0.2688546161933056,-9.223705673711542,9.521381112282176
2015-09-29,-0.17479574667304595,-9.647540057202626,9.400625430760474
2015-09-30,-0.0846081795649123,-9.770495334282973,9.465333127926398
2015-10-01,4.9472124086361036e-05,-9.47420540575112,9.669981213736047
2015-10-02,0.07779097160058956,-8.868999101644159,10.26289930506254
2015-10-05,0.2602215064826318,-9.116935935350345,9.445444828206622
2015-10-06,0.3025995895213963,-8.868708032042774,9.611269437688943
2015-10-07,0.33580682005495754,-8.613884501326822,9.60327185494207
2015-10-08,0.36032153116183746,-9.120354810882796,9.180266126263758
2015-10-09,0.3768908179045771,-9.22094747537168,10.050187785233744
2015-10-12,0.38972111145850236,-9.067485429356644,9.782255290803999
2015-10-13,0.3861314594657094,-8.959784051577032,10.006600244914532
2015-10-14,0.3810806601723518,-8.751216551716652,9.511607639884263
2015-10-15,0.37611033967328766,-8.733235736250608,9.849463660336504
2015-10-16,0.3727366733012918,-9.348942595359668,9.227695160041
2015-10-19,0.386085752760087,-7.716684392959458,9.753993065170249
