Date,Actual,Predicted
2025-05-07,117.05187225341797,113.69880690873406
2025-05-08,117.36185455322266,115.24833604837613
2025-05-09,116.64189910888672,115.93588246369876
2025-05-12,122.99146270751953,118.37448656332461
2025-05-13,129.9209747314453,124.79553366922231
2025-05-14,135.33059692382812,131.49500264794
2025-05-15,134.8206329345703,135.45644704248014
2025-05-16,135.39059448242188,134.79225010182319
2025-05-19,135.5605926513672,135.54189344475765
2025-05-20,134.37066650390625,134.8417806893909
2025-05-21,131.7908477783203,133.72028430502198
2025-05-22,132.82078552246094,130.96270473752702
2025-05-23,131.2808837890625,132.0271557146708
2025-05-27,135.49058532714844,125.74160959625243
2025-05-28,134.80064392089844,133.52171222186783
2025-05-29,139.1803436279297,131.8030275994461
2025-05-30,135.12062072753906,135.11996457344915
2025-06-02,137.37046813964844,136.8441715997003
2025-06-03,141.21018981933594,136.95892525271609
2025-06-04,141.91014099121094,144.11426429241837
2025-06-05,139.98028564453125,143.5266046365295
2025-06-06,141.7101593017578,142.25440270553523
2025-06-09,142.62010192871094,140.6514862685534
2025-06-10,143.95001220703125,134.11304777821627
2025-06-11,142.8300018310547,144.42897967924256
2025-06-12,145.0,135.78331449337202
2025-06-13,141.97000122070312,143.90725579579671
2025-06-16,144.69000244140625,139.7159855945247
2025-06-17,144.1199951171875,145.74258578438094
2025-06-18,145.47999572753906,145.15836814851474
