Fecha,Real,Predicción
2025-05-07,117.05187225341797,113.88502891540527
2025-05-08,117.36185455322266,116.20930503845214
2025-05-09,116.64189910888672,115.77883934020996
2025-05-12,122.99146270751953,118.71446868896484
2025-05-13,129.9209747314453,123.1006315612793
2025-05-14,135.33059692382812,131.4443280029297
2025-05-15,134.8206329345703,134.0141300201416
2025-05-16,135.39059448242188,134.43771545410155
2025-05-19,135.5605926513672,134.18189224243164
2025-05-20,134.37066650390625,133.34660385131835
2025-05-21,131.7908477783203,132.8584243774414
2025-05-22,132.82078552246094,132.12221420288085
2025-05-23,131.2808837890625,132.95419952392578
2025-05-27,135.49058532714844,125.89352905273438
2025-05-28,134.80064392089844,132.4783381652832
2025-05-29,139.1803436279297,131.25849617004394
2025-05-30,135.12062072753906,135.11763671875
2025-06-02,137.37046813964844,135.91444679260255
2025-06-03,141.21018981933594,136.44421897888185
2025-06-04,141.91014099121094,143.61278274536133
2025-06-05,139.98028564453125,143.25312713623046
2025-06-06,141.7101593017578,140.90147094726564
2025-06-09,142.62010192871094,140.59716537475586
2025-06-10,143.95001220703125,134.7432975769043
2025-06-11,142.8300018310547,144.39368392944337
2025-06-12,145.0,135.56904373168945
2025-06-13,141.97000122070312,143.36048568725585
2025-06-16,144.69000244140625,140.01942687988281
2025-06-17,144.1199951171875,145.2297737121582
2025-06-18,145.47999572753906,145.1871780395508
