Date,Actual,Predicted
2025-05-15,134.8206329345703,134.4759902002614
2025-05-16,135.39059448242188,134.20645192290922
2025-05-19,135.5605926513672,134.79492852125125
2025-05-20,134.37066650390625,133.68957553165856
2025-05-21,131.7908477783203,131.91415437240101
2025-05-22,132.82078552246094,131.1512442390788
2025-05-23,131.2808837890625,131.4816584292655
2025-05-27,135.49058532714844,125.56636826578777
2025-05-28,134.80064392089844,133.23619562610608
2025-05-29,139.1803436279297,131.3564015365782
2025-05-30,135.12062072753906,134.45855541457286
2025-06-02,137.37046813964844,135.46778031640378
2025-06-03,141.21018981933594,136.88075562432016
2025-06-04,141.91014099121094,143.52964337767435
2025-06-05,139.98028564453125,143.15531380690408
2025-06-06,141.7101593017578,141.14957117979867
2025-06-09,142.62010192871094,140.6848631675834
2025-06-10,143.95001220703125,133.907561245286
2025-06-11,142.8300018310547,144.78446290170578
2025-06-12,145.0,135.24587971401564
2025-06-13,141.97000122070312,144.38986813808623
2025-06-16,144.69000244140625,140.3288702433266
2025-06-17,144.1199951171875,145.90799823742822
2025-06-18,145.47999572753906,145.6067661886669
2025-06-20,143.85000610351562,143.9567663416181
2025-06-23,144.1699981689453,142.03846666463218
2025-06-24,147.89999389648438,143.81690895334881
2025-06-25,154.30999755859375,143.4435711263021
2025-06-26,155.02000427246094,141.46987124125164
2025-06-27,157.75,139.52122848510743
