Date,Actual,Predicted
2025-05-27,135.49058532714844,125.81765972682408
2025-05-28,134.80064392089844,132.42248644763566
2025-05-29,139.1803436279297,132.18562171692773
2025-05-30,135.12062072753906,133.89136004270927
2025-06-02,137.37046813964844,135.78709858519161
2025-06-03,141.21018981933594,136.9722930762602
2025-06-04,141.91014099121094,143.85630052433086
2025-06-05,139.98028564453125,143.5481991652814
2025-06-06,141.7101593017578,141.6578128650302
2025-06-09,142.62010192871094,140.63722061907825
2025-06-10,143.95001220703125,137.2096139930497
2025-06-11,142.8300018310547,143.8416422542344
2025-06-12,145.0,138.4148990212954
2025-06-13,141.97000122070312,144.19512415391972
2025-06-16,144.69000244140625,139.9970755614474
2025-06-17,144.1199951171875,145.71315308688472
2025-06-18,145.47999572753906,145.4275773091951
2025-06-20,143.85000610351562,143.69079962999393
2025-06-23,144.1699981689453,142.0690034261431
2025-06-24,147.89999389648438,144.08446106610978
2025-06-25,154.30999755859375,142.83488150823683
2025-06-26,155.02000427246094,141.03742213948567
2025-06-27,157.75,139.1561669921875
2025-06-30,157.99000549316406,138.52371155511767
2025-07-01,153.3000030517578,143.0449774017334
2025-07-02,157.25,143.21437132263182
2025-07-03,159.33999633789062,143.4488680343628
2025-07-07,158.24000549316406,143.12313466099332
2025-07-08,160.0,143.15223553430465
2025-07-09,162.8800048828125,143.3411214901152
