Date,Actual,Predicted
2025-05-20,134.37066650390625,134.42828219914168
2025-05-21,131.7908477783203,132.91612983602434
2025-05-22,132.82078552246094,131.58278541288485
2025-05-23,131.2808837890625,132.23849257851347
2025-05-27,135.49058532714844,125.12143357248019
2025-05-28,134.80064392089844,133.64834131692857
2025-05-29,139.1803436279297,132.03198777538807
2025-05-30,135.12062072753906,134.52864684371653
2025-06-02,137.37046813964844,136.6095001348046
2025-06-03,141.21018981933594,137.39606710783164
2025-06-04,141.91014099121094,143.78233752229545
2025-06-05,139.98028564453125,143.41695560021068
2025-06-06,141.7101593017578,141.58932787763365
2025-06-09,142.62010192871094,141.19924152367963
2025-06-10,143.95001220703125,133.75096850278527
2025-06-11,142.8300018310547,144.11657485471997
2025-06-12,145.0,134.61279462075692
2025-06-13,141.97000122070312,143.70039917078057
2025-06-16,144.69000244140625,140.4543903602162
2025-06-17,144.1199951171875,146.5464499419978
2025-06-18,145.47999572753906,145.68931183874173
2025-06-20,143.85000610351562,143.69241470885171
2025-06-23,144.1699981689453,141.76386994914458
2025-06-24,147.89999389648438,144.7197850156918
2025-06-25,154.30999755859375,143.85110202831692
2025-06-26,155.02000427246094,141.0338811700609
2025-06-27,157.75,138.76633253479002
2025-06-30,157.99000549316406,138.5882678413391
2025-07-01,153.3000030517578,142.60491175333658
2025-07-02,157.25,142.7226638285319
