Fecha,Real,Predicción
2025-05-07,117.05187225341797,113.88691017150879
2025-05-08,117.36185455322266,116.32769607543945
2025-05-09,116.64189910888672,115.8972304534912
2025-05-12,122.99146270751953,118.79375877380372
2025-05-13,129.9209747314453,123.08184692382812
2025-05-14,135.33059692382812,131.44932403564454
2025-05-15,134.8206329345703,134.01413055419923
2025-05-16,135.39059448242188,134.4377165222168
2025-05-19,135.5605926513672,134.18189239501953
2025-05-20,134.37066650390625,133.34660400390624
2025-05-21,131.7908477783203,132.85362747192383
2025-05-22,132.82078552246094,132.12221420288085
2025-05-23,131.2808837890625,132.95419967651367
2025-05-27,135.49058532714844,125.89352905273438
2025-05-28,134.80064392089844,132.48313552856445
2025-05-29,139.1803436279297,131.25849685668945
2025-05-30,135.12062072753906,135.11763671875
2025-06-02,137.37046813964844,135.91444732666017
2025-06-03,141.21018981933594,136.44421951293944
2025-06-04,141.91014099121094,143.61278549194336
2025-06-05,139.98028564453125,143.25312896728516
2025-06-06,141.7101593017578,140.90146743774415
2025-06-09,142.62010192871094,140.60276565551757
2025-06-10,143.95001220703125,134.75479782104492
2025-06-11,142.8300018310547,144.405184173584
2025-06-12,145.0,135.58054382324218
2025-06-13,141.97000122070312,143.36638488769532
2025-06-16,144.69000244140625,140.01942626953124
2025-06-17,144.1199951171875,145.2297738647461
2025-06-18,145.47999572753906,145.18717849731445
