Date,Actual,Predicted
2025-05-21,131.7908477783203,132.7518367225675
2025-05-22,132.82078552246094,130.1699723471403
2025-05-23,131.2808837890625,131.72680483628713
2025-05-27,135.49058532714844,126.18421400773977
2025-05-28,134.80064392089844,132.7669690162401
2025-05-29,139.1803436279297,131.22230382219408
2025-05-30,135.12062072753906,134.44149836802978
2025-06-02,137.37046813964844,135.74298230144805
2025-06-03,141.21018981933594,137.13059711619323
2025-06-04,141.91014099121094,144.0876630110108
2025-06-05,139.98028564453125,143.41519381450954
2025-06-06,141.7101593017578,140.37968888761023
2025-06-09,142.62010192871094,141.13138545960405
2025-06-10,143.95001220703125,134.46419322582332
2025-06-11,142.8300018310547,144.0804365077176
2025-06-12,145.0,135.65323756641112
2025-06-13,141.97000122070312,143.92335461171467
2025-06-16,144.69000244140625,140.49905650801472
2025-06-17,144.1199951171875,146.44495181673156
2025-06-18,145.47999572753906,145.3548451559465
2025-06-20,143.85000610351562,143.51653551101685
2025-06-23,144.1699981689453,142.53317680940174
2025-06-24,147.89999389648438,144.16054429323245
2025-06-25,154.30999755859375,143.5486740268856
2025-06-26,155.02000427246094,140.37792904663084
2025-06-27,157.75,138.98275917053223
2025-06-30,157.99000549316406,139.19238430786132
2025-07-01,153.3000030517578,142.67451820373535
2025-07-02,157.25,142.82445149230955
2025-07-03,159.33999633789062,142.98432179260254
